loan_id,customer_id,loan_type,principal_amount,interest_rate,loan_status,start_date,end_date
700191,8904,SME,558747.81,20.32,Active,2023-02-13,2027-03-17
700192,5518,Mortgage,630313.56,23.45,Active,2018-07-22,2020-07-03
700193,8042,SME,63547.5,24.43,Closed,2017-06-06,2023-12-24
700194,150,Mortgage,396888.94,13.78,Active,2018-12-25,2025-04-27
700195,129,Mortgage,933913.98,17.82,Active,2015-11-06,2020-03-10
700196,6944,SME,217581.5,26.67,Active,2019-11-06,2025-10-12
700197,7442,Personal,416337.0,22.72,Active,2022-05-14,2029-02-06
700198,3879,Personal,1497020.07,16.32,Closed,2015-09-25,2020-04-01
700199,1833,Mortgage,546034.31,15.86,Active,2018-11-06,2024-05-04
700200,8466,Personal,241507.74,17.46,Active,2021-02-21,2023-10-06
700201,8286,SME,430993.78,20.29,Active,2023-02-06,2024-07-24
700202,7189,Personal,353261.41,25.25,Active,2016-01-19,2021-09-11
700203,5644,SME,586101.63,16.93,Closed,2023-02-07,2028-03-17
700204,8793,Personal,163314.82,15.34,Active,2020-10-01,2023-02-26
700205,5461,Personal,838770.31,12.93,Active,2017-07-18,2019-01-21
700206,1455,Personal,619242.64,26.98,Closed,2016-10-02,2021-06-28
700207,3849,SME,631620.46,13.27,Closed,2018-09-27,2024-07-14
700208,9820,SME,666229.43,17.61,Active,2015-11-16,2021-11-05
700209,2679,SME,1047111.31,20.67,Active,2020-04-28,2026-02-19
700210,1676,Personal,385325.39,25.65,Active,2017-04-03,2023-04-15
700211,7014,Personal,1616725.68,21.31,Active,2016-10-06,2023-06-24
700212,9476,Personal,296402.16,14.1,Active,2018-12-07,2024-06-09
700213,8739,Personal,253381.44,25.36,Active,2017-04-24,2022-10-27
700214,3947,Personal,135940.72,19.79,Closed,2016-01-02,2021-12-01
700215,9040,SME,318788.3,13.86,Closed,2015-11-13,2021-03-06
700216,8695,Mortgage,89854.19,16.82,Active,2020-01-01,2024-08-10
700217,5217,Personal,713911.94,25.33,Active,2016-05-29,2019-10-05
700218,4938,Personal,898223.93,13.22,Active,2019-03-02,2022-09-24
700219,9835,Mortgage,1170123.33,20.81,Active,2019-03-06,2023-03-04
700220,4502,Personal,849972.9,15.08,Active,2022-12-05,2028-10-17
700221,2032,Personal,369932.66,21.05,Closed,2020-10-28,2025-02-22
700222,4692,Personal,644385.18,15.69,Closed,2019-09-13,2026-01-12
700223,9807,SME,126378.2,13.71,Closed,2017-09-02,2020-07-04
700224,4681,Personal,272338.41,25.81,Active,2016-10-29,2021-08-26
700225,8191,Personal,144028.31,14.89,Active,2015-02-05,2018-12-26
700226,767,SME,658718.33,16.82,Active,2016-04-29,2021-10-03
700227,6663,Personal,259615.84,16.88,Active,2018-10-04,2019-12-08
700228,2362,SME,711151.22,18.74,Active,2016-03-05,2021-09-27
700229,4027,SME,438697.97,22.87,Active,2016-11-10,2019-08-27
700230,6411,SME,848529.73,17.08,Active,2016-02-07,2022-03-05
700231,8380,Personal,336403.0,15.37,Active,2018-04-01,2020-11-02
700232,3948,SME,130625.88,17.65,Active,2022-10-23,2029-03-16
700233,9356,Personal,348544.1,14.12,Active,2015-10-25,2017-01-06
700234,6479,Mortgage,505767.84,23.96,Active,2020-02-16,2023-06-30
700235,2714,Personal,1488913.74,19.25,Active,2020-07-11,2026-01-18
700236,4317,Personal,636339.28,14.64,Active,2021-06-10,2026-04-05
700237,2795,Mortgage,547707.6,18.29,Active,2020-04-16,2026-10-11
700238,4206,Personal,368342.64,25.67,Active,2017-10-05,2021-02-15
700239,8444,Personal,241318.15,15.98,Defaulted,2019-03-10,2020-09-21
700240,4614,Mortgage,498202.91,22.76,Active,2019-01-15,2025-06-19
700241,983,Personal,472513.4,26.69,Closed,2020-07-17,2022-07-29
700242,2634,Personal,1034452.17,27.17,Active,2017-10-31,2020-02-09
700243,3702,Personal,519457.33,26.33,Active,2018-04-11,2024-05-06
700244,4059,Personal,1534028.97,25.12,Active,2018-02-23,2022-10-23
700245,2775,Personal,222756.58,17.84,Active,2017-01-01,2020-03-27
700246,4339,Personal,110398.51,20.16,Active,2019-09-27,2026-01-20
700247,8099,Personal,776979.03,25.2,Active,2019-11-15,2025-03-31
700248,5084,Mortgage,2321404.53,18.74,Closed,2016-12-07,2021-03-01
700249,1250,Mortgage,422585.53,12.48,Closed,2023-02-08,2028-06-03
700250,1182,Mortgage,634762.81,22.82,Defaulted,2017-04-03,2019-11-17
700251,7719,Personal,739379.26,20.88,Defaulted,2019-08-26,2022-03-09
700252,60,Personal,987791.07,23.62,Active,2018-12-31,2025-01-30
700253,2046,SME,597632.37,18.41,Active,2022-11-18,2028-01-08
700254,1992,Personal,1503633.54,26.8,Active,2019-10-27,2023-02-17
700255,4867,SME,75727.64,27.02,Active,2021-02-15,2027-09-27
700256,9454,SME,903360.34,24.16,Closed,2021-07-22,2024-02-28
700257,439,Personal,354267.09,14.98,Closed,2017-06-07,2019-01-28
700258,3725,Mortgage,891367.07,16.97,Active,2020-12-29,2027-09-17
700259,7087,Mortgage,637833.34,16.56,Defaulted,2015-07-24,2021-03-17
700260,1455,Personal,628735.65,14.59,Active,2019-02-25,2024-05-02
700261,2263,Personal,1122950.44,25.3,Defaulted,2023-02-11,2029-04-30
700262,3450,Personal,682496.73,18.37,Active,2017-01-20,2018-08-29
700263,5110,Personal,1424533.1,21.26,Active,2015-12-31,2019-08-14
700264,5409,SME,87384.31,26.35,Active,2020-06-16,2026-03-14
700265,8884,Mortgage,1281719.23,15.91,Active,2017-08-08,2022-07-16
700266,8463,SME,619789.57,15.27,Active,2017-06-21,2023-03-19
700267,492,SME,713436.54,24.67,Active,2015-05-28,2019-10-14
700268,9804,Personal,3171901.68,23.3,Active,2019-07-17,2022-07-31
700269,5016,SME,329301.78,15.76,Active,2021-06-04,2023-01-21
700270,1741,SME,486336.36,17.9,Defaulted,2018-01-22,2021-06-28
700271,3262,Personal,871405.34,22.44,Active,2021-09-20,2022-09-20
700272,1465,Personal,3436641.57,16.85,Active,2020-06-28,2026-09-04
700273,1011,SME,558496.85,16.43,Active,2018-10-22,2022-10-30
700274,573,Personal,1300302.97,17.77,Defaulted,2016-09-08,2018-02-04
700275,3612,SME,859991.46,19.21,Active,2015-08-03,2021-03-30
700276,3361,Mortgage,252292.31,26.39,Closed,2018-08-28,2025-06-10
700277,2088,Personal,187026.87,26.71,Closed,2015-12-09,2019-01-17
700278,9211,Personal,300889.86,21.08,Closed,2018-02-26,2021-01-31
700279,5703,Personal,1240814.11,15.83,Active,2019-07-01,2020-07-18
700280,4176,Personal,408407.45,16.27,Active,2016-06-03,2021-05-18
700281,2944,SME,302410.72,21.56,Active,2016-05-30,2017-10-24
700282,7958,Personal,362209.17,16.64,Active,2017-01-04,2022-03-01
700283,3529,Mortgage,1110611.14,14.7,Active,2020-07-12,2022-01-15
700284,9679,SME,117055.25,21.16,Closed,2015-11-25,2019-10-21
700285,4488,Mortgage,743678.0,14.3,Active,2022-07-23,2024-09-06
700286,2715,SME,998780.79,25.23,Closed,2017-03-29,2021-06-05
700287,6939,Personal,331266.17,12.04,Closed,2016-07-15,2019-09-08
700288,8612,Personal,666220.63,19.06,Active,2021-03-24,2024-03-16
700289,9363,Mortgage,262147.66,25.21,Active,2015-01-31,2016-06-12
700290,2213,Personal,44224.92,27.16,Active,2016-04-01,2020-01-31
700291,2151,Mortgage,465839.81,25.7,Closed,2017-01-20,2019-11-25
700292,5449,SME,562869.77,19.07,Closed,2015-05-22,2021-10-10
700293,1514,SME,1037270.48,16.27,Active,2022-08-30,2029-06-15
700294,749,Mortgage,835407.22,26.29,Active,2017-09-21,2021-05-30
700295,541,Mortgage,231726.5,26.12,Active,2015-06-20,2019-04-16
700296,3347,Mortgage,1040275.05,23.15,Closed,2022-03-16,2027-10-11
700297,7468,Personal,321048.59,17.2,Active,2018-06-08,2022-10-23
700298,8841,Mortgage,278327.51,21.41,Active,2016-08-14,2019-09-08
700299,9589,Personal,763724.11,17.57,Active,2022-11-16,2028-07-30
700300,2297,SME,451022.94,22.49,Active,2018-06-01,2019-11-21
700301,291,Mortgage,758030.19,23.71,Active,2018-10-13,2022-04-09
700302,2045,Mortgage,488051.09,17.15,Active,2022-08-21,2024-04-09
700303,1165,Mortgage,481525.25,25.3,Active,2017-12-31,2022-08-12
700304,6885,Personal,306297.66,25.0,Closed,2015-04-10,2020-05-25
700305,8354,SME,137929.29,27.92,Active,2018-10-05,2020-12-20
700306,9546,Personal,435712.34,16.72,Closed,2022-04-06,2027-12-02
700307,6796,SME,314962.52,23.08,Active,2019-04-05,2023-12-15
700308,2783,Mortgage,565878.02,12.49,Active,2020-12-14,2026-08-11
700309,7838,Personal,253698.71,12.0,Defaulted,2017-12-30,2020-08-11
700310,1713,Personal,221730.49,14.51,Active,2015-01-10,2017-02-12
700311,6884,Personal,130665.31,18.4,Active,2022-03-24,2024-02-17
700312,8395,SME,373784.51,17.82,Defaulted,2017-02-02,2023-11-11
700313,6047,Mortgage,266908.84,17.34,Active,2019-09-12,2020-11-28
700314,2783,Mortgage,82391.05,22.28,Active,2022-07-05,2023-10-11
700315,9341,SME,601636.25,22.24,Active,2018-05-01,2021-11-28
700316,4216,Mortgage,2927871.91,21.62,Active,2017-01-06,2018-03-06
700317,7172,Personal,175374.98,27.64,Active,2016-08-05,2021-07-11
700318,443,SME,178141.2,14.48,Active,2016-09-28,2021-07-14
700319,5038,Personal,1933764.24,12.18,Active,2018-01-21,2023-12-01
700320,4279,Personal,326147.74,19.7,Closed,2019-02-21,2024-09-20
700321,9025,Personal,632616.4,12.77,Active,2017-10-01,2020-03-01
700322,1976,Personal,706420.29,14.88,Active,2021-10-07,2026-03-23
700323,4068,Personal,278430.54,19.78,Defaulted,2020-10-15,2022-09-29
700324,7586,Personal,1205245.24,27.84,Active,2021-05-07,2023-01-10
700325,6372,SME,240177.53,27.96,Active,2019-04-20,2021-06-04
700326,1256,Personal,545885.29,22.18,Active,2019-04-13,2021-04-21
700327,9671,Personal,179323.51,15.34,Active,2016-12-23,2019-05-20
700328,1830,SME,1607056.23,16.45,Closed,2019-08-29,2025-09-08
700329,2880,SME,96600.21,22.09,Active,2020-11-20,2026-12-17
700330,968,Personal,316904.64,18.06,Defaulted,2015-05-15,2018-03-24
700331,3475,Personal,769097.79,14.59,Defaulted,2015-10-15,2020-01-28
700332,7793,Mortgage,179019.46,16.89,Active,2017-07-27,2019-03-05
700333,537,Personal,381681.98,19.19,Active,2016-07-25,2017-10-21
700334,82,SME,1399191.61,12.03,Active,2020-03-23,2022-01-23
700335,179,Personal,1313336.15,15.21,Active,2022-04-18,2024-06-12
700336,4535,Personal,196135.41,25.6,Active,2020-12-28,2025-04-18
700337,931,SME,546891.27,22.16,Active,2017-10-27,2024-03-20
700338,920,Personal,713474.54,18.2,Active,2018-10-02,2023-11-07
700339,9932,Mortgage,567516.01,23.58,Active,2017-07-14,2022-08-18
700340,1127,Personal,276410.59,25.8,Active,2021-05-28,2027-12-05
700341,8336,Personal,128126.58,25.73,Active,2021-10-15,2024-08-22
700342,6030,Personal,1138882.99,25.81,Active,2021-11-28,2027-08-07
700343,8071,Personal,111955.1,18.32,Closed,2015-06-07,2017-01-24
700344,7278,SME,469285.8,18.86,Closed,2022-10-02,2025-09-12
700345,837,Personal,244408.01,17.8,Closed,2021-10-17,2025-06-09
700346,6282,Personal,762496.28,20.84,Closed,2017-03-18,2019-09-21
700347,2852,Personal,2947689.29,16.63,Active,2021-07-03,2027-07-09
700348,4130,Personal,1504691.28,16.88,Active,2016-02-28,2018-01-29
700349,5083,SME,524965.17,13.28,Active,2016-03-26,2020-04-02
700350,1785,Mortgage,815510.14,18.78,Closed,2019-09-21,2023-12-15
700351,5541,SME,342493.39,23.87,Active,2016-02-24,2020-05-16
700352,5911,Personal,1616796.69,13.92,Active,2022-11-20,2026-12-14
700353,2222,Mortgage,353291.49,24.66,Active,2016-04-06,2018-12-28
700354,2320,Personal,300565.83,12.37,Active,2021-03-11,2025-03-11
700355,4198,SME,655714.45,23.58,Active,2022-04-06,2026-07-27
700356,3413,Personal,12327.69,19.05,Closed,2021-09-23,2023-01-22
700357,1082,SME,571730.67,17.18,Active,2022-03-15,2023-10-30
700358,4599,Personal,384572.85,27.01,Active,2021-01-14,2025-12-05
700359,8893,Mortgage,175752.42,22.54,Defaulted,2016-05-20,2023-01-12
700360,2831,Personal,558288.35,22.31,Closed,2018-06-18,2020-06-11
700361,164,Mortgage,355226.15,14.96,Closed,2018-03-09,2023-05-18
700362,446,Mortgage,170764.32,15.44,Active,2019-12-23,2026-09-19
700363,8664,Mortgage,880920.02,21.12,Active,2019-08-27,2020-09-29
700364,7253,Personal,6105738.63,17.63,Active,2015-10-22,2020-03-14
700365,9635,Personal,344461.79,12.4,Defaulted,2018-11-24,2023-10-09
700366,3006,Personal,166933.29,26.42,Active,2022-03-28,2026-01-14
700367,4412,Mortgage,2138271.86,18.96,Active,2020-08-31,2022-10-27
700368,3728,Personal,278416.11,19.68,Active,2018-11-10,2021-12-09
700369,3847,Personal,435181.31,26.12,Active,2018-10-23,2022-04-06
700370,6705,Personal,233671.23,26.27,Closed,2016-11-10,2023-06-02
700371,1802,Mortgage,617594.19,24.05,Active,2021-09-23,2027-03-30
700372,1367,Personal,3179380.43,25.8,Closed,2022-12-16,2026-08-28
700373,9226,SME,666705.72,16.75,Active,2020-08-27,2023-02-16
700374,161,Personal,603274.21,12.98,Active,2021-07-03,2025-07-15
700375,3448,SME,413174.36,25.98,Closed,2016-04-08,2021-01-01
700376,4257,Personal,436183.54,19.4,Closed,2022-07-24,2027-08-18
700377,3170,SME,1137243.82,24.23,Active,2022-06-18,2025-12-12
700378,7216,Mortgage,2625661.46,27.71,Active,2015-12-28,2019-04-04
700379,6330,Mortgage,1155182.9,13.15,Active,2020-02-23,2024-12-18
