card_id,account_id,card_type,card_status,issued_date
900153,105562,Debit,Active,2016-09-03
900154,106317,Debit,Active,2016-08-24
900155,100391,Debit,Active,2020-08-29
900156,111515,Debit,Active,2022-10-02
900157,101937,Debit,Active,2017-05-08
900158,110999,Debit,Blocked,2020-02-16
900159,104555,Credit,Active,2019-04-29
900160,100194,Debit,Active,2020-02-18
900161,106219,Debit,Active,2019-01-14
900162,109402,Debit,Blocked,2021-08-22
900163,113292,Debit,Active,2022-10-02
900164,111916,Debit,Active,2020-01-24
900165,107774,Debit,Active,2017-02-27
900166,109329,Debit,Active,2017-04-22
900167,110110,Debit,Active,2017-10-11
900168,104742,Debit,Active,2016-09-05
900169,102835,Debit,Active,2017-10-04
900170,102855,Debit,Active,2019-06-22
900171,102411,Debit,Active,2015-11-12
900172,101933,Debit,Active,2016-10-08
900173,114027,Debit,Active,2021-03-23
900174,106748,Debit,Active,2018-01-12
900175,110087,Debit,Active,2020-07-27
900176,104311,Debit,Active,2020-10-11
900177,104227,Debit,Active,2017-12-08
900178,102809,Debit,Blocked,2017-04-08
900179,114484,Credit,Active,2022-11-29
900180,100454,Debit,Active,2020-11-25
900181,114244,Credit,Active,2015-09-09
900182,109274,Credit,Active,2018-01-04
900183,103528,Debit,Active,2015-01-16
900184,100385,Debit,Active,2016-10-21
900185,111961,Debit,Active,2020-09-04
900186,110601,Debit,Blocked,2016-01-20
900187,104959,Credit,Active,2019-08-07
900188,112785,Debit,Active,2020-02-20
900189,108925,Debit,Active,2016-01-07
900190,113236,Debit,Active,2020-04-14
900191,105796,Credit,Active,2015-09-22
900192,102399,Debit,Active,2023-03-03
900193,111134,Debit,Active,2020-03-27
900194,100207,Debit,Active,2018-10-18
900195,105423,Debit,Active,2017-09-28
900196,102124,Credit,Active,2018-05-27
900197,107477,Debit,Blocked,2022-06-26
900198,107777,Debit,Active,2021-05-04
900199,102869,Debit,Active,2022-01-08
900200,112769,Debit,Active,2019-10-18
900201,114389,Debit,Active,2015-10-22
900202,110423,Credit,Active,2020-03-11
900203,104102,Debit,Active,2023-01-26
900204,106585,Debit,Active,2019-07-19
900205,111187,Debit,Active,2016-09-21
900206,109299,Credit,Active,2016-03-03
900207,105245,Credit,Active,2015-06-06
900208,109564,Credit,Blocked,2023-02-23
900209,109272,Debit,Active,2015-01-07
900210,112398,Debit,Active,2020-11-27
900211,113406,Debit,Active,2016-09-21
900212,113568,Debit,Active,2016-12-16
900213,103080,Debit,Active,2020-10-06
900214,113408,Debit,Active,2015-08-19
900215,109390,Debit,Active,2016-06-13
900216,113688,Credit,Active,2020-06-26
900217,112639,Debit,Active,2021-01-11
900218,107660,Debit,Active,2020-12-28
900219,110685,Debit,Active,2020-02-17
900220,111692,Debit,Active,2017-06-19
900221,111187,Credit,Active,2021-06-19
900222,113473,Debit,Active,2018-05-21
900223,101142,Debit,Active,2023-01-23
900224,110926,Credit,Active,2021-10-03
900225,105874,Debit,Active,2017-12-07
900226,113149,Debit,Active,2015-09-05
900227,112119,Debit,Active,2016-01-06
900228,107995,Debit,Blocked,2019-07-29
900229,105239,Debit,Active,2015-08-24
900230,110825,Debit,Active,2020-10-09
900231,114105,Debit,Active,2022-10-19
900232,112227,Debit,Active,2017-12-06
900233,101022,Debit,Active,2018-10-25
900234,113450,Debit,Active,2016-09-06
900235,103115,Debit,Active,2020-10-06
900236,106672,Debit,Active,2022-12-04
900237,114927,Debit,Active,2016-07-17
900238,107341,Debit,Active,2019-11-26
900239,104227,Debit,Active,2021-12-25
900240,108465,Credit,Active,2015-03-13
900241,107008,Debit,Active,2017-05-21
900242,101890,Debit,Active,2020-12-15
900243,113651,Debit,Active,2020-07-31
900244,106605,Debit,Active,2020-11-29
900245,105551,Debit,Blocked,2021-08-22
900246,103545,Debit,Blocked,2021-08-23
900247,100039,Debit,Blocked,2022-07-04
900248,101897,Credit,Active,2021-01-30
900249,101566,Debit,Active,2016-06-05
900250,107762,Credit,Active,2020-07-14
900251,112653,Credit,Active,2016-03-13
900252,114838,Credit,Active,2015-06-18
900253,108135,Debit,Active,2020-12-09
900254,109152,Debit,Active,2018-12-07
900255,100665,Debit,Active,2022-09-03
900256,109074,Debit,Active,2022-11-17
900257,112569,Debit,Active,2016-01-03
900258,114176,Debit,Active,2020-01-02
900259,100600,Credit,Active,2022-04-24
900260,102289,Debit,Active,2017-03-08
900261,105405,Debit,Active,2023-03-13
900262,110675,Debit,Active,2019-12-23
900263,106490,Debit,Blocked,2020-05-13
900264,109698,Debit,Active,2019-02-09
900265,105712,Debit,Active,2016-03-26
900266,102090,Debit,Active,2021-05-19
900267,105203,Credit,Blocked,2021-10-17
900268,111894,Debit,Active,2019-09-08
900269,105388,Debit,Active,2022-04-28
900270,105685,Debit,Active,2021-07-08
900271,108747,Debit,Blocked,2016-01-26
900272,111887,Debit,Active,2017-10-24
900273,100979,Debit,Active,2021-02-01
900274,114787,Debit,Active,2017-05-18
900275,109653,Debit,Active,2017-11-23
900276,102403,Debit,Active,2015-04-28
900277,114721,Debit,Active,2021-07-23
900278,101688,Debit,Active,2020-10-08
900279,113065,Debit,Active,2020-07-03
900280,100465,Debit,Active,2019-12-07
900281,108335,Debit,Active,2019-12-18
900282,107924,Debit,Active,2015-02-23
900283,107710,Debit,Active,2015-06-22
900284,102723,Debit,Active,2018-08-12
900285,112269,Debit,Active,2017-08-14
900286,107676,Credit,Active,2020-09-12
900287,112018,Debit,Active,2019-09-19
900288,104251,Credit,Active,2018-11-10
900289,108114,Debit,Blocked,2020-01-08
900290,109761,Debit,Active,2022-01-30
900291,102486,Debit,Active,2015-12-16
900292,104825,Debit,Active,2017-10-11
900293,104825,Debit,Active,2020-06-02
900294,106481,Debit,Active,2018-02-27
900295,110441,Debit,Active,2019-11-16
900296,114495,Debit,Active,2018-08-15
900297,110014,Debit,Active,2018-02-02
900298,106247,Debit,Active,2017-12-18
900299,113955,Credit,Active,2018-12-26
900300,104863,Debit,Blocked,2022-06-01
900301,100267,Debit,Active,2016-03-02
900302,103766,Debit,Active,2017-05-26
900303,112994,Credit,Active,2016-06-02
900304,113892,Credit,Active,2020-01-03
900305,114027,Credit,Active,2018-09-17
900306,109646,Debit,Active,2017-12-22
900307,104521,Debit,Active,2016-06-04
900308,114047,Debit,Active,2015-03-31
900309,113244,Debit,Active,2015-02-04
900310,112894,Debit,Active,2018-09-16
900311,106395,Credit,Active,2019-07-03
900312,105636,Debit,Active,2017-09-21
900313,111749,Debit,Active,2021-08-04
900314,114579,Debit,Active,2017-10-26
900315,102480,Debit,Active,2018-08-23
900316,101265,Debit,Active,2016-07-12
900317,108333,Debit,Active,2018-11-20
900318,102046,Credit,Active,2018-09-18
900319,101047,Debit,Active,2017-06-04
900320,106534,Debit,Active,2023-01-05
900321,110450,Debit,Active,2022-11-29
900322,111649,Debit,Blocked,2021-12-27
900323,104597,Debit,Active,2017-10-12
900324,108374,Debit,Active,2021-12-23
900325,112133,Debit,Active,2019-04-20
900326,111401,Debit,Active,2015-06-12
900327,100013,Debit,Active,2020-07-13
900328,113548,Debit,Active,2017-12-14
900329,101866,Credit,Active,2019-12-13
900330,109400,Debit,Active,2015-06-22
900331,111937,Debit,Active,2020-10-14
900332,106254,Debit,Active,2021-09-11
900333,109051,Debit,Blocked,2019-06-03
900334,103272,Debit,Active,2021-06-22
900335,107911,Debit,Active,2022-09-02
900336,114691,Debit,Active,2018-10-10
900337,105032,Credit,Active,2020-05-03
900338,108930,Credit,Active,2018-11-25
900339,105260,Debit,Active,2023-01-29
900340,101401,Debit,Active,2015-02-05
900341,112403,Debit,Active,2018-12-13
900342,113303,Debit,Active,2016-12-07
900343,108558,Credit,Active,2019-04-21
900344,112640,Debit,Active,2018-12-07
900345,114263,Debit,Active,2016-12-03
900346,104616,Credit,Active,2022-06-18
900347,107501,Debit,Active,2018-09-22
900348,106498,Debit,Active,2015-09-11
900349,113350,Debit,Active,2021-06-14
900350,111034,Debit,Active,2021-03-03
900351,112963,Credit,Active,2018-03-06
900352,101319,Debit,Active,2017-07-26
900353,112578,Debit,Active,2019-01-02
900354,110075,Credit,Active,2020-02-15
900355,109609,Debit,Blocked,2022-12-01
900356,105317,Debit,Active,2016-12-14
900357,114624,Debit,Active,2020-03-29
900358,111840,Credit,Active,2019-02-12
900359,108613,Debit,Active,2015-12-18
900360,102378,Debit,Active,2016-08-20
900361,101040,Debit,Active,2022-02-23
900362,111160,Credit,Active,2022-02-01
900363,110902,Debit,Active,2016-12-29
900364,104026,Debit,Active,2017-03-10
900365,110416,Debit,Active,2019-11-24
900366,109690,Credit,Active,2022-10-31
900367,106090,Credit,Active,2020-06-30
900368,114148,Debit,Active,2018-06-05
900369,108650,Credit,Active,2021-03-17
900370,107555,Debit,Active,2020-02-01
900371,109135,Debit,Active,2018-05-14
900372,111423,Debit,Active,2020-09-06
900373,111243,Credit,Active,2021-12-04
900374,105344,Debit,Active,2020-09-28
900375,111797,Debit,Active,2023-01-29
900376,102050,Debit,Active,2017-10-07
900377,114605,Debit,Active,2015-07-05
900378,110216,Debit,Active,2020-09-25
900379,109687,Debit,Blocked,2018-04-08
900380,114678,Debit,Active,2021-01-02
900381,113278,Debit,Active,2021-06-07
900382,110709,Credit,Active,2021-03-29
900383,114849,Debit,Active,2019-03-13
900384,101118,Credit,Active,2022-04-15
900385,109399,Debit,Active,2021-05-14
900386,102254,Debit,Active,2022-02-17
900387,107661,Debit,Active,2016-02-19
900388,109372,Debit,Active,2018-04-20
900389,100463,Debit,Active,2021-09-24
900390,103107,Credit,Active,2016-02-29
900391,111554,Debit,Active,2021-02-15
900392,106314,Debit,Active,2020-06-27
900393,103327,Debit,Active,2021-02-27
900394,113148,Debit,Active,2015-01-08
900395,109843,Debit,Active,2020-05-18
900396,101967,Debit,Active,2016-05-04
900397,102822,Debit,Active,2018-07-26
900398,105274,Credit,Blocked,2016-06-12
900399,108603,Debit,Active,2019-10-14
900400,103456,Debit,Active,2015-01-27
900401,106566,Debit,Active,2022-11-15
900402,105937,Debit,Active,2015-05-25
900403,110222,Credit,Active,2017-03-12
900404,109042,Credit,Active,2015-03-29
900405,113754,Debit,Blocked,2017-05-14
900406,114017,Debit,Active,2017-07-27
900407,102755,Debit,Active,2021-08-06
900408,106861,Debit,Active,2017-09-09
900409,110372,Debit,Active,2017-02-05
900410,104009,Debit,Active,2022-03-03
900411,114372,Debit,Active,2022-03-29
900412,107997,Debit,Active,2015-04-18
900413,103084,Debit,Active,2018-09-04
900414,103660,Debit,Active,2017-07-10
900415,107273,Debit,Active,2018-08-14
900416,103863,Credit,Active,2018-04-26
900417,106960,Debit,Active,2016-11-15
900418,106327,Debit,Active,2015-02-28
900419,104910,Debit,Blocked,2018-03-31
900420,114170,Debit,Active,2021-05-08
900421,108836,Debit,Active,2022-08-26
900422,114165,Debit,Blocked,2017-02-02
900423,105122,Debit,Active,2022-03-10
900424,102243,Debit,Active,2015-03-12
900425,100840,Debit,Active,2018-03-14
900426,112332,Debit,Active,2017-01-04
900427,100433,Credit,Active,2018-10-08
900428,106456,Debit,Active,2016-02-18
900429,110775,Debit,Active,2015-06-28
900430,101048,Debit,Active,2015-02-27
900431,110594,Debit,Active,2020-05-17
900432,108723,Debit,Active,2017-03-01
900433,114910,Credit,Blocked,2016-04-13
900434,105746,Debit,Active,2016-10-26
900435,112508,Debit,Active,2021-04-20
900436,111561,Debit,Active,2021-11-28
900437,108185,Credit,Blocked,2018-12-31
900438,114888,Debit,Active,2020-01-01
900439,112539,Debit,Active,2015-08-02
900440,101740,Debit,Active,2015-02-04
900441,102756,Debit,Active,2021-05-20
900442,105759,Debit,Active,2020-03-26
900443,107972,Debit,Active,2018-12-02
900444,110991,Credit,Active,2018-08-05
900445,109637,Debit,Active,2016-06-11
900446,108957,Debit,Active,2017-11-19
900447,100137,Credit,Active,2022-03-03
900448,106244,Debit,Active,2016-10-04
900449,102253,Debit,Active,2016-08-17
900450,102980,Debit,Active,2020-12-29
900451,106437,Debit,Active,2018-09-18
900452,102291,Debit,Blocked,2017-08-27
900453,105505,Credit,Active,2021-06-23
900454,114170,Debit,Blocked,2020-07-17
900455,107849,Credit,Blocked,2021-12-12
900456,103157,Debit,Active,2019-03-03
900457,101765,Credit,Active,2022-01-27
900458,111544,Debit,Active,2021-07-30
900459,112729,Debit,Active,2018-05-11
900460,113694,Debit,Active,2023-02-18
900461,112157,Debit,Active,2021-05-27
900462,102734,Debit,Active,2018-08-25
900463,113875,Debit,Blocked,2016-09-01
900464,105448,Credit,Active,2017-04-22
900465,112877,Debit,Active,2017-02-14
900466,111290,Debit,Active,2017-01-01
900467,109516,Debit,Active,2016-10-08
900468,103735,Debit,Active,2019-09-27
900469,100849,Credit,Active,2022-05-13
900470,103859,Debit,Active,2021-02-10
900471,111190,Credit,Active,2020-03-21
900472,112219,Debit,Active,2022-08-26
900473,107975,Debit,Active,2017-08-21
900474,105380,Credit,Active,2015-08-20
900475,107520,Debit,Active,2015-08-15
900476,103047,Credit,Active,2020-10-03
900477,101673,Debit,Active,2016-07-07
900478,112780,Debit,Active,2017-06-12
900479,113057,Debit,Active,2020-01-12
900480,114787,Debit,Active,2022-07-24
900481,103154,Debit,Active,2021-12-26
900482,105309,Credit,Active,2022-02-12
900483,103889,Debit,Active,2016-06-05
900484,110378,Debit,Active,2018-01-22
900485,102852,Debit,Blocked,2015-12-11
900486,113396,Debit,Active,2018-11-25
900487,111147,Debit,Active,2020-04-26
900488,106810,Debit,Active,2018-07-18
900489,101346,Debit,Active,2016-07-11
900490,105030,Debit,Active,2022-03-16
900491,107257,Debit,Active,2022-03-31
900492,107315,Debit,Active,2018-03-14
900493,100828,Debit,Active,2018-12-22
900494,104364,Debit,Active,2020-05-17
900495,114550,Debit,Active,2021-08-22
900496,104171,Debit,Active,2018-07-27
900497,100860,Debit,Active,2022-03-07
900498,105476,Debit,Active,2015-01-29
900499,110368,Credit,Active,2015-08-12
900500,105656,Debit,Active,2016-08-18
900501,103259,Debit,Active,2017-03-26
900502,101857,Debit,Active,2017-10-03
900503,114622,Debit,Active,2019-11-05
900504,113657,Debit,Active,2017-02-26
900505,105153,Debit,Active,2021-07-11
900506,100123,Debit,Active,2016-03-21
900507,109498,Debit,Active,2022-10-09
900508,111483,Debit,Blocked,2017-01-14
900509,114561,Debit,Active,2015-12-01
900510,105422,Debit,Active,2021-10-05
900511,114682,Debit,Active,2016-06-04
900512,107998,Debit,Blocked,2015-09-19
900513,106660,Debit,Active,2020-11-23
900514,113958,Debit,Active,2020-03-15
900515,106730,Debit,Active,2021-02-24
900516,114523,Debit,Active,2018-12-08
900517,101266,Debit,Active,2023-03-18
900518,105615,Debit,Active,2019-02-12
900519,103741,Credit,Active,2020-11-24
900520,103913,Debit,Active,2020-04-19
900521,106168,Debit,Active,2015-09-18
900522,107373,Debit,Active,2019-04-07
900523,108585,Credit,Active,2020-06-17
900524,112884,Debit,Active,2020-11-28
900525,112226,Debit,Active,2017-05-06
900526,114271,Credit,Active,2023-03-11
900527,109928,Debit,Active,2023-01-21
900528,107690,Debit,Active,2016-03-05
900529,105934,Credit,Active,2022-11-04
900530,108030,Debit,Active,2016-09-02
900531,110254,Debit,Active,2019-04-26
900532,100995,Debit,Active,2016-03-14
900533,100120,Debit,Active,2018-12-03
900534,109167,Debit,Active,2019-04-19
900535,108683,Debit,Active,2020-04-02
900536,104536,Debit,Active,2015-12-24
900537,103814,Debit,Active,2022-09-01
900538,103620,Debit,Active,2017-08-18
900539,110669,Debit,Active,2018-10-03
900540,107791,Debit,Active,2020-10-12
900541,104896,Debit,Active,2022-11-28
900542,106532,Debit,Active,2020-08-28
900543,101924,Debit,Active,2017-03-14
900544,102278,Debit,Active,2019-10-07
900545,110785,Debit,Active,2017-03-31
900546,105411,Credit,Active,2021-07-17
900547,106247,Debit,Active,2017-05-31
900548,108990,Debit,Active,2016-04-06
900549,112645,Debit,Active,2021-04-23
900550,112857,Debit,Active,2020-08-06
900551,104705,Debit,Active,2018-03-22
900552,104922,Debit,Active,2019-05-25
900553,106033,Debit,Blocked,2015-12-15
900554,107997,Debit,Active,2015-10-25
900555,107348,Debit,Active,2022-05-19
900556,106576,Debit,Active,2019-05-17
900557,111204,Debit,Active,2015-05-31
900558,106326,Debit,Active,2020-09-10
900559,105206,Credit,Active,2020-01-15
900560,106167,Debit,Blocked,2022-04-08
900561,114140,Debit,Active,2022-10-03
900562,109406,Debit,Active,2015-10-07
900563,111295,Debit,Active,2019-11-16
900564,103445,Debit,Active,2016-10-05
900565,108106,Credit,Active,2022-05-17
900566,101959,Credit,Active,2015-07-29
900567,104258,Debit,Active,2015-11-24
900568,104429,Debit,Active,2021-03-17
900569,105378,Debit,Active,2017-12-05
900570,104846,Debit,Active,2020-03-24
900571,108980,Debit,Active,2017-07-25
900572,101360,Debit,Active,2015-06-21
900573,111565,Debit,Active,2016-02-14
900574,112095,Debit,Active,2019-10-01
900575,114725,Debit,Active,2020-07-07
900576,113460,Debit,Active,2017-12-03
900577,101445,Debit,Active,2019-08-03
900578,104311,Debit,Active,2020-11-23
900579,111889,Debit,Active,2022-05-06
900580,110491,Debit,Active,2021-07-22
900581,108176,Debit,Active,2021-05-16
900582,114900,Debit,Blocked,2022-05-15
900583,101583,Credit,Active,2020-05-05
900584,102325,Debit,Blocked,2020-12-14
900585,107225,Debit,Active,2017-08-11
900586,102375,Credit,Active,2023-01-21
900587,109180,Debit,Active,2016-02-07
900588,103464,Debit,Active,2022-12-12
900589,109570,Debit,Active,2015-04-02
900590,101370,Debit,Blocked,2019-10-29
900591,110482,Debit,Active,2020-03-18
900592,114797,Credit,Active,2016-12-29
900593,101082,Debit,Active,2022-07-01
900594,107346,Debit,Active,2022-11-01
900595,112538,Debit,Active,2015-04-05
900596,101914,Credit,Active,2021-12-21
900597,107046,Debit,Active,2017-05-17
900598,106679,Debit,Active,2020-05-09
900599,111245,Credit,Active,2015-11-05
900600,104908,Debit,Active,2020-01-25
900601,105861,Credit,Active,2018-12-05
900602,107939,Debit,Active,2017-10-15
900603,101250,Credit,Active,2022-06-24
900604,100979,Debit,Active,2021-09-25
900605,108774,Debit,Active,2018-01-02
900606,111230,Debit,Active,2019-08-25
900607,101893,Debit,Blocked,2020-03-15
900608,107736,Debit,Active,2016-02-21
900609,107501,Credit,Active,2021-01-22
900610,102280,Debit,Active,2015-03-07
900611,114285,Debit,Active,2015-04-19
900612,101835,Debit,Active,2022-06-08
900613,107298,Debit,Active,2021-03-25
900614,105212,Debit,Active,2020-02-26
900615,109433,Debit,Active,2022-11-21
900616,103944,Debit,Active,2016-07-16
900617,106273,Debit,Active,2020-06-20
900618,108480,Debit,Active,2018-10-02
900619,108181,Debit,Blocked,2020-02-23
900620,109455,Debit,Active,2018-09-10
900621,113814,Debit,Active,2020-10-18
900622,112148,Debit,Active,2016-11-15
900623,110973,Credit,Active,2022-12-13
900624,107810,Debit,Active,2022-01-19
900625,100699,Debit,Active,2018-05-11
900626,102442,Debit,Active,2015-11-08
900627,109199,Debit,Active,2019-03-24
900628,100956,Credit,Active,2022-10-21
900629,100592,Debit,Active,2016-03-03
900630,105761,Debit,Active,2017-09-03
900631,100058,Debit,Active,2017-08-15
900632,105301,Debit,Blocked,2019-03-13
900633,100754,Debit,Active,2017-03-13
900634,114390,Debit,Active,2020-11-15
900635,109758,Debit,Active,2016-10-24
900636,107807,Debit,Active,2016-10-16
900637,105185,Debit,Active,2020-08-19
900638,106747,Debit,Active,2019-02-10
900639,108562,Debit,Active,2015-06-26
900640,103602,Debit,Active,2015-05-16
900641,109065,Debit,Active,2015-04-18
900642,105378,Debit,Active,2015-08-27
900643,109921,Debit,Active,2018-01-11
900644,111862,Debit,Active,2017-04-17
900645,105276,Debit,Active,2016-10-19
900646,112955,Debit,Active,2017-10-29
900647,100267,Credit,Active,2023-02-26
900648,110614,Debit,Active,2017-02-24
900649,100941,Debit,Active,2021-02-12
900650,113650,Debit,Active,2015-11-05
900651,104996,Debit,Active,2021-04-12
900652,110877,Debit,Active,2019-03-23
900653,106238,Debit,Active,2018-04-07
900654,106210,Debit,Active,2018-07-08
900655,100486,Debit,Active,2018-05-14
900656,104645,Debit,Active,2020-06-25
900657,114215,Debit,Active,2016-10-17
900658,104421,Debit,Active,2017-06-10
900659,100055,Debit,Active,2019-07-11
900660,105015,Debit,Active,2020-07-06
900661,106889,Debit,Active,2022-05-05
900662,108010,Credit,Active,2020-09-02
900663,101170,Debit,Blocked,2019-09-14
900664,104012,Debit,Active,2018-06-08
900665,103337,Debit,Active,2020-09-12
900666,107419,Debit,Active,2019-02-17
900667,114909,Credit,Active,2018-02-20
900668,108359,Debit,Active,2020-08-24
900669,110268,Debit,Active,2015-02-07
900670,102339,Debit,Active,2021-12-18
900671,101687,Debit,Active,2021-07-13
900672,105032,Debit,Active,2021-09-21
900673,100504,Debit,Active,2017-03-01
900674,101278,Debit,Active,2022-01-21
900675,107915,Debit,Active,2017-10-15
900676,112073,Debit,Active,2020-08-18
900677,107403,Debit,Active,2020-03-06
900678,100558,Debit,Active,2022-09-05
900679,113857,Debit,Active,2016-02-04
900680,111228,Debit,Active,2020-11-24
900681,102182,Credit,Blocked,2017-08-30
900682,100007,Debit,Active,2015-05-17
900683,109843,Debit,Active,2017-08-15
900684,112164,Debit,Active,2015-04-03
900685,100053,Credit,Active,2017-02-08
900686,105613,Debit,Blocked,2018-03-15
900687,100263,Debit,Active,2022-11-02
900688,107499,Debit,Active,2019-11-14
900689,107051,Credit,Active,2020-01-25
900690,107770,Debit,Active,2021-02-13
900691,113103,Debit,Active,2020-09-06
900692,103157,Credit,Active,2017-07-17
