account_id,customer_id,account_type,balance,currency,status,opened_date
100054,1842,Savings,1402143.57,NGN,Active,2018-12-03
100055,5846,Current,60646.5,NGN,Active,2023-09-06
100056,8517,Savings,412583.18,NGN,Dormant,2024-02-18
100057,8037,Savings,64247.68,NGN,Active,2020-07-08
100058,6566,Savings,109948.64,NGN,Active,2024-05-05
100059,4526,Savings,347733.09,NGN,Active,2012-04-02
100060,4450,Savings,189817.69,NGN,Active,2023-09-24
100061,9871,Savings,195433.88,NGN,Closed,2024-04-01
100062,9712,Current,544779.02,NGN,Active,2016-10-23
100063,4389,Savings,540634.74,NGN,Active,2011-09-20
100064,2843,Savings,172166.9,NGN,Active,2020-11-16
100065,9473,Current,80991.44,NGN,Active,2019-03-25
100066,5533,Savings,162920.0,NGN,Closed,2022-07-11
100067,4477,Fixed,53657.0,NGN,Active,2012-09-12
100068,5320,Savings,386408.25,NGN,Active,2014-08-25
100069,225,Current,132312.96,NGN,Active,2020-03-26
100070,9095,Savings,48237.64,NGN,Active,2013-11-18
100071,4767,Savings,711444.6,NGN,Active,2022-03-11
100072,5414,Current,160275.33,NGN,Active,2014-10-11
100073,8799,Fixed,71480.02,NGN,Closed,2010-04-16
100074,8634,Current,572213.46,NGN,Active,2021-01-20
100075,2656,Current,649038.36,NGN,Closed,2024-08-02
100076,5402,Savings,20421.1,NGN,Active,2012-03-18
100077,2978,Current,550239.78,NGN,Active,2019-01-27
100078,801,Savings,193595.86,NGN,Active,2018-04-27
100079,2513,Savings,473804.82,NGN,Active,2023-03-29
100080,993,Savings,151033.08,NGN,Active,2020-03-02
100081,6257,Savings,247003.95,NGN,Active,2017-09-27
100082,7485,Current,116463.49,NGN,Active,2011-11-05
100083,9117,Savings,484808.42,NGN,Closed,2010-02-09
100084,2026,Savings,77769.25,NGN,Active,2023-06-07
100085,1775,Savings,503240.44,NGN,Active,2020-05-27
100086,4778,Current,198101.41,NGN,Active,2020-07-19
100087,3257,Savings,374140.8,NGN,Active,2023-12-08
100088,2183,Savings,53627.42,NGN,Closed,2015-07-26
100089,4153,Savings,259122.98,NGN,Active,2020-01-14
100090,8982,Savings,292589.9,NGN,Dormant,2021-10-27
100091,5003,Savings,1251368.1,NGN,Active,2023-05-23
100092,6049,Savings,350640.87,NGN,Active,2011-07-29
100093,694,Savings,85225.0,NGN,Active,2012-12-19
100094,9876,Savings,81433.15,NGN,Active,2015-09-09
100095,7941,Fixed,375954.16,NGN,Active,2023-07-04
100096,7182,Savings,89862.15,NGN,Active,2021-01-10
100097,2947,Current,91911.61,NGN,Active,2024-04-01
100098,1024,Savings,63255.49,NGN,Active,2023-11-19
100099,9658,Savings,188417.45,NGN,Active,2024-01-02
100100,8219,Savings,207146.43,NGN,Active,2020-04-24
100101,772,Savings,113689.75,NGN,Active,2013-11-24
100102,5504,Current,1050210.65,NGN,Active,2023-01-05
100103,8131,Savings,305040.03,NGN,Active,2024-12-22
100104,6464,Savings,1125890.43,NGN,Dormant,2012-08-25
100105,4315,Savings,187953.75,NGN,Active,2023-03-03
100106,3804,Savings,72685.26,NGN,Active,2020-02-19
100107,1878,Current,54500.33,NGN,Active,2022-06-05
100108,1194,Current,142154.21,NGN,Active,2011-02-08
100109,9629,Savings,372721.79,NGN,Active,2018-01-18
100110,1616,Current,117377.28,NGN,Active,2010-01-11
100111,2467,Savings,417728.91,NGN,Active,2016-04-09
100112,3188,Current,761962.22,NGN,Active,2023-10-03
100113,6750,Current,67013.43,NGN,Active,2013-11-30
100114,1999,Savings,48559.86,NGN,Dormant,2016-10-19
100115,5407,Current,461845.23,NGN,Active,2020-04-16
100116,7775,Current,218791.68,NGN,Active,2010-09-03
100117,2509,Savings,232817.59,NGN,Active,2017-02-23
100118,1003,Current,350494.13,NGN,Active,2023-06-21
100119,149,Savings,30377.78,NGN,Dormant,2015-03-16
100120,1902,Savings,264441.07,NGN,Active,2016-05-28
100121,5855,Savings,198494.83,NGN,Active,2013-07-28
100122,1741,Savings,270515.81,NGN,Active,2016-12-26
100123,4258,Savings,56939.3,NGN,Active,2015-10-17
100124,6077,Savings,177855.08,NGN,Dormant,2014-10-19
100125,3024,Savings,95606.87,NGN,Active,2015-12-29
100126,5578,Fixed,513028.91,NGN,Active,2017-11-01
100127,8572,Savings,147939.4,NGN,Active,2023-08-04
100128,5820,Savings,84115.47,NGN,Dormant,2022-10-24
100129,7606,Savings,54725.03,NGN,Active,2011-12-15
100130,8057,Savings,425122.97,NGN,Active,2024-06-22
100131,701,Current,478933.2,NGN,Active,2016-07-05
100132,9342,Savings,1350176.01,NGN,Active,2020-08-03
100133,6896,Savings,114202.85,NGN,Active,2016-08-02
100134,7874,Savings,53410.17,NGN,Active,2013-07-04
100135,5320,Savings,141698.84,NGN,Active,2022-08-12
100136,5345,Current,75544.21,NGN,Active,2019-09-14
100137,581,Savings,81469.05,NGN,Active,2023-11-17
100138,9738,Savings,274268.91,NGN,Active,2015-11-02
100139,5899,Savings,541042.09,NGN,Active,2020-11-11
100140,1270,Current,256403.89,NGN,Active,2018-05-11
100141,8604,Current,184341.72,NGN,Active,2019-01-05
100142,9989,Current,401344.52,NGN,Active,2019-07-01
100143,5644,Fixed,126725.31,NGN,Active,2024-01-02
100144,6765,Fixed,802040.34,NGN,Active,2013-11-19
100145,7258,Savings,4408338.97,NGN,Active,2016-09-04
100146,5085,Savings,81423.18,NGN,Active,2018-12-02
100147,1486,Current,615483.52,NGN,Active,2018-08-17
100148,9508,Savings,616542.73,NGN,Active,2023-08-01
100149,3363,Savings,290647.1,NGN,Active,2020-10-10
100150,1296,Savings,670006.32,NGN,Active,2013-07-28
100151,2192,Current,240455.23,NGN,Active,2013-11-18
100152,9769,Savings,332278.8,NGN,Active,2018-04-17
100153,7245,Current,178109.06,NGN,Active,2010-11-28
100154,9526,Current,189930.37,NGN,Active,2018-04-24
100155,6234,Savings,327655.2,NGN,Dormant,2023-12-20
100156,8069,Savings,258706.23,NGN,Active,2012-03-20
100157,3046,Savings,51447.79,NGN,Active,2023-06-03
100158,3266,Savings,284934.97,NGN,Active,2012-08-03
100159,5703,Savings,124231.12,NGN,Active,2022-03-19
100160,5918,Savings,88291.6,NGN,Active,2017-03-04
100161,6252,Current,473036.68,NGN,Closed,2020-03-05
100162,6751,Savings,58264.14,NGN,Active,2015-07-23
100163,511,Current,120786.16,NGN,Active,2011-02-26
100164,2369,Savings,50379.37,NGN,Active,2010-06-05
100165,1500,Current,104573.27,NGN,Active,2022-12-04
100166,6430,Savings,2262841.92,NGN,Dormant,2015-06-20
100167,6959,Savings,70170.51,NGN,Active,2017-06-25
100168,7519,Savings,137797.77,NGN,Closed,2016-11-16
100169,856,Savings,752555.0,NGN,Active,2024-07-14
100170,1951,Savings,263645.81,NGN,Dormant,2012-10-23
100171,4028,Savings,139745.45,NGN,Active,2012-07-01
100172,3317,Savings,75948.14,NGN,Dormant,2013-12-26
100173,8779,Current,341437.71,NGN,Active,2014-10-27
100174,362,Fixed,113972.23,NGN,Closed,2015-07-05
100175,5456,Savings,1780054.11,NGN,Active,2010-09-21
100176,9865,Savings,119270.26,NGN,Active,2011-05-05
100177,9199,Current,1044443.98,NGN,Active,2023-09-03
100178,4669,Savings,427346.25,NGN,Active,2024-07-02
100179,3334,Current,423327.68,NGN,Active,2022-06-16
100180,4397,Savings,136756.08,NGN,Active,2014-05-06
100181,5069,Savings,98187.21,NGN,Active,2013-12-04
100182,2597,Savings,122282.05,NGN,Active,2023-08-19
100183,5091,Savings,514009.5,NGN,Closed,2011-05-28
100184,7402,Current,289691.3,NGN,Active,2014-12-09
100185,4710,Savings,20898.63,NGN,Dormant,2014-11-07
100186,4067,Savings,39443.74,NGN,Active,2017-11-11
100187,3993,Savings,140267.43,NGN,Active,2011-05-07
100188,9083,Current,293571.76,NGN,Dormant,2012-05-12
100189,6983,Savings,126485.8,NGN,Active,2017-05-28
100190,8047,Fixed,93619.27,NGN,Active,2021-03-29
100191,2847,Current,55126.86,NGN,Active,2017-02-11
100192,1696,Current,444326.4,NGN,Active,2011-01-25
100193,9008,Savings,181582.95,NGN,Active,2013-06-02
100194,7379,Savings,1033542.72,NGN,Dormant,2020-01-02
100195,499,Savings,38961.21,NGN,Active,2023-05-28
100196,1681,Savings,348134.59,NGN,Active,2011-05-11
100197,7353,Current,297284.23,NGN,Active,2016-12-10
100198,9529,Current,413270.68,NGN,Active,2015-10-26
100199,249,Savings,404065.99,NGN,Active,2013-01-22
100200,9889,Current,93176.87,NGN,Active,2022-10-20
100201,659,Savings,133424.32,NGN,Dormant,2014-07-28
100202,4771,Savings,195448.49,NGN,Active,2024-02-28
100203,689,Savings,54008.33,NGN,Dormant,2012-01-26
100204,8160,Savings,506260.73,NGN,Active,2016-12-02
100205,1700,Current,10700.49,NGN,Active,2011-12-23
100206,224,Savings,45320.35,NGN,Active,2020-07-03
100207,1760,Current,25696.04,NGN,Active,2012-05-30
100208,3816,Savings,545651.92,NGN,Active,2010-05-03
100209,54,Fixed,206317.25,NGN,Active,2014-06-24
100210,5685,Current,90560.83,NGN,Active,2017-02-19
100211,700,Current,180944.06,NGN,Dormant,2019-10-11
100212,6626,Savings,217656.08,NGN,Active,2021-05-03
100213,586,Savings,41623.6,NGN,Active,2011-08-04
100214,3372,Savings,191099.22,NGN,Active,2017-12-09
100215,4385,Savings,749880.39,NGN,Closed,2012-03-09
100216,1452,Savings,910225.83,NGN,Active,2022-07-09
100217,311,Current,416082.81,NGN,Active,2013-08-30
100218,2506,Savings,216236.09,NGN,Closed,2022-03-05
100219,1123,Savings,450000.3,NGN,Active,2013-06-05
100220,342,Current,353727.53,NGN,Closed,2023-08-21
100221,9175,Savings,47270.88,NGN,Active,2014-11-20
100222,9601,Current,59574.12,NGN,Active,2018-03-15
100223,8649,Savings,327132.61,NGN,Active,2017-11-02
100224,5424,Savings,78013.85,NGN,Active,2021-07-13
100225,9842,Savings,52693.38,NGN,Active,2011-09-20
100226,6895,Savings,672196.77,NGN,Active,2015-02-01
100227,6996,Savings,174381.47,NGN,Active,2012-07-09
100228,1711,Savings,151534.09,NGN,Dormant,2018-12-03
100229,1583,Fixed,43337.19,NGN,Active,2023-09-04
100230,6170,Current,99353.59,NGN,Active,2018-05-13
100231,6785,Savings,111550.12,NGN,Active,2020-09-19
100232,8557,Current,60136.29,NGN,Dormant,2015-07-20
100233,1169,Fixed,42744.17,NGN,Active,2020-09-28
100234,8337,Savings,1113144.45,NGN,Dormant,2013-12-11
100235,6311,Fixed,767076.69,NGN,Active,2023-07-09
100236,1067,Fixed,145005.82,NGN,Active,2014-10-14
100237,972,Current,37783.71,NGN,Active,2018-09-21
100238,9769,Savings,24393.56,NGN,Active,2023-01-13
100239,7183,Current,99039.53,NGN,Active,2012-06-19
100240,4154,Savings,13645.14,NGN,Dormant,2015-02-21
100241,9440,Fixed,98906.26,NGN,Active,2016-06-18
100242,8325,Savings,17613.92,NGN,Dormant,2013-10-20
100243,1267,Current,146724.19,NGN,Active,2018-07-17
100244,210,Savings,202006.3,NGN,Closed,2015-12-18
100245,4338,Savings,132517.44,NGN,Active,2022-03-11
100246,6527,Fixed,1774337.4,NGN,Active,2018-12-27
100247,6359,Current,129712.3,NGN,Active,2023-09-22
100248,9006,Savings,1091766.28,NGN,Closed,2018-01-31
100249,7258,Fixed,225455.54,NGN,Active,2020-08-04
100250,3521,Current,1489609.9,NGN,Active,2023-02-01
100251,7324,Fixed,23595.95,NGN,Active,2013-10-24
100252,3450,Savings,49477.08,NGN,Closed,2011-09-03
100253,2132,Fixed,118697.05,NGN,Active,2016-11-24
100254,9641,Current,949284.88,NGN,Dormant,2019-04-08
100255,6128,Fixed,125121.2,NGN,Active,2014-10-25
100256,1696,Savings,77018.3,NGN,Active,2021-01-24
100257,1510,Savings,317225.55,NGN,Active,2021-11-16
100258,6226,Current,440868.78,NGN,Closed,2010-01-27
100259,6945,Savings,69993.69,NGN,Active,2024-05-10
100260,6304,Current,76305.2,NGN,Active,2014-01-05
100261,6706,Fixed,1050133.39,NGN,Dormant,2010-02-14
100262,4275,Current,642871.91,NGN,Active,2012-01-29
100263,1229,Savings,862898.76,NGN,Active,2021-12-31
100264,9747,Savings,458050.7,NGN,Active,2021-01-13
100265,4212,Savings,63642.93,NGN,Closed,2023-07-25
100266,3419,Current,156958.48,NGN,Active,2011-03-08
100267,2449,Savings,50634.93,NGN,Closed,2015-11-27
100268,4395,Savings,476112.05,NGN,Active,2012-11-16
100269,4765,Savings,89515.38,NGN,Active,2018-05-26
100270,3884,Current,24763.63,NGN,Active,2017-09-27
100271,6196,Savings,184433.04,NGN,Active,2024-09-03
100272,1008,Savings,561145.57,NGN,Active,2017-05-22
100273,8732,Savings,35782.38,NGN,Active,2016-09-10
100274,8404,Savings,141841.04,NGN,Active,2024-11-06
100275,5229,Savings,88434.47,NGN,Active,2020-03-09
100276,8098,Savings,484177.35,NGN,Active,2014-06-04
100277,4071,Savings,17123.6,NGN,Active,2020-08-24
100278,3894,Savings,567207.14,NGN,Active,2010-01-17
100279,6914,Fixed,74936.3,NGN,Active,2015-06-08
100280,1394,Savings,136490.52,NGN,Closed,2013-11-27
100281,9456,Fixed,418513.29,NGN,Active,2020-08-05
100282,3474,Current,828015.28,NGN,Active,2021-10-05
100283,9205,Current,172207.55,NGN,Active,2015-08-18
100284,796,Savings,73313.68,NGN,Active,2013-07-20
100285,1204,Current,90703.37,NGN,Active,2020-11-29
100286,3344,Current,586953.67,NGN,Dormant,2023-12-14
100287,5025,Savings,61536.5,NGN,Active,2024-09-17
100288,5893,Savings,233693.57,NGN,Active,2017-05-25
100289,3373,Savings,164091.98,NGN,Active,2020-06-17
100290,421,Savings,375191.52,NGN,Active,2011-04-17
100291,2258,Savings,168983.0,NGN,Active,2015-01-28
100292,6080,Fixed,100985.25,NGN,Active,2010-05-12
100293,62,Current,93479.73,NGN,Active,2021-01-08
100294,4101,Savings,91576.14,NGN,Closed,2021-10-22
100295,4592,Savings,35688.68,NGN,Active,2014-10-29
100296,3179,Current,283978.21,NGN,Active,2010-08-07
100297,1547,Savings,205038.81,NGN,Dormant,2021-05-30
100298,5974,Current,32443.81,NGN,Closed,2020-12-07
100299,9943,Savings,104173.42,NGN,Active,2022-09-21
100300,8923,Savings,120204.35,NGN,Closed,2020-12-05
100301,7555,Current,85480.36,NGN,Active,2013-03-22
100302,8371,Savings,142647.01,NGN,Active,2024-01-27
100303,5610,Savings,144693.48,NGN,Active,2014-04-27
100304,7234,Current,435299.74,NGN,Active,2014-11-18
100305,8721,Savings,161919.12,NGN,Active,2010-05-14
100306,1411,Current,312699.13,NGN,Active,2023-08-03
100307,8528,Current,35243.52,NGN,Active,2019-09-19
100308,4854,Savings,50630.22,NGN,Active,2018-08-20
100309,9267,Savings,35912.37,NGN,Active,2020-08-02
100310,6451,Current,105313.13,NGN,Active,2013-04-15
100311,211,Savings,173018.98,NGN,Active,2012-12-13
100312,9860,Current,1019155.28,NGN,Active,2017-06-25
100313,1455,Savings,65340.46,NGN,Active,2013-01-02
100314,5031,Current,414256.79,NGN,Dormant,2016-06-10
100315,4145,Savings,65151.95,NGN,Active,2014-03-09
100316,441,Current,167089.61,NGN,Active,2013-04-09
100317,6121,Current,137651.22,NGN,Active,2020-03-17
100318,8743,Savings,58911.84,NGN,Dormant,2019-05-26
100319,8644,Current,64205.78,NGN,Dormant,2010-04-25
100320,8847,Savings,943396.61,NGN,Dormant,2020-05-03
100321,6505,Savings,90533.13,NGN,Active,2017-10-20
100322,668,Savings,488211.05,NGN,Active,2018-01-25
100323,6160,Current,343363.02,NGN,Dormant,2011-12-21
100324,4377,Fixed,83102.5,NGN,Active,2018-12-10
100325,3623,Current,162149.0,NGN,Active,2019-12-12
100326,4241,Savings,185864.8,NGN,Dormant,2015-01-02
100327,2511,Current,278076.01,NGN,Active,2012-09-07
100328,8052,Savings,104239.93,NGN,Closed,2010-01-31
100329,1394,Savings,31024.27,NGN,Active,2019-09-09
100330,7475,Savings,75320.96,NGN,Active,2023-11-21
100331,7570,Fixed,586613.22,NGN,Active,2014-12-29
100332,6638,Savings,157230.16,NGN,Active,2020-05-13
100333,1556,Savings,102449.7,NGN,Active,2022-10-19
100334,3415,Savings,32125.07,NGN,Closed,2012-07-22
100335,6277,Current,634620.81,NGN,Active,2020-02-22
100336,7680,Savings,129572.26,NGN,Dormant,2019-05-03
100337,3390,Current,538340.58,NGN,Active,2013-05-28
100338,1895,Savings,344773.89,NGN,Active,2017-03-15
100339,6737,Savings,390343.02,NGN,Active,2016-02-24
100340,6814,Current,1009934.64,NGN,Closed,2010-08-29
100341,6368,Savings,185905.95,NGN,Active,2011-06-06
100342,9104,Current,140528.59,NGN,Dormant,2010-07-31
100343,972,Current,909158.88,NGN,Active,2024-07-12
100344,7409,Current,407326.55,NGN,Active,2018-12-19
100345,8309,Current,74959.74,NGN,Active,2022-03-16
100346,3848,Current,512828.66,NGN,Active,2010-03-11
100347,437,Current,861550.67,NGN,Active,2013-03-20
100348,3288,Fixed,12965.06,NGN,Active,2016-07-06
100349,1585,Savings,41400.72,NGN,Active,2023-06-22
100350,7157,Fixed,66762.78,NGN,Active,2016-05-21
100351,4313,Savings,360543.74,NGN,Active,2019-09-23
100352,1596,Savings,387620.37,NGN,Active,2011-07-15
100353,3191,Current,288223.76,NGN,Active,2015-07-19
100354,7598,Savings,426784.54,NGN,Active,2020-12-18
100355,1343,Savings,48097.4,NGN,Active,2014-12-16
100356,9855,Savings,43189.36,NGN,Active,2016-11-20
100357,5442,Savings,645935.94,NGN,Dormant,2022-06-15
100358,8861,Savings,182437.76,NGN,Active,2021-07-28
100359,7345,Savings,615100.14,NGN,Active,2023-02-28
100360,7517,Savings,75474.88,NGN,Active,2016-12-18
100361,5911,Current,50932.93,NGN,Closed,2021-09-14
100362,5884,Current,40217.13,NGN,Active,2023-01-13
100363,3152,Savings,392821.48,NGN,Active,2018-11-17
100364,4140,Fixed,565350.54,NGN,Active,2017-12-05
100365,7060,Savings,295359.23,NGN,Active,2012-02-16
100366,8645,Savings,95634.56,NGN,Active,2018-08-23
100367,9200,Fixed,328027.31,NGN,Dormant,2017-02-24
100368,9415,Savings,318275.11,NGN,Active,2021-09-07
100369,8081,Fixed,17540.03,NGN,Active,2016-09-09
100370,8386,Savings,110697.05,NGN,Active,2015-04-18
100371,1036,Current,221325.38,NGN,Active,2010-10-22
100372,7098,Savings,550652.26,NGN,Closed,2024-05-07
100373,7557,Current,148205.47,NGN,Active,2019-03-10
100374,8016,Savings,191749.7,NGN,Active,2022-10-03
100375,1150,Savings,151130.09,NGN,Active,2021-02-02
100376,7240,Savings,217904.59,NGN,Active,2010-09-27
100377,8632,Savings,36110.21,NGN,Active,2011-02-07
100378,8924,Savings,83617.1,NGN,Active,2021-11-12
100379,4398,Fixed,13980.37,NGN,Dormant,2011-02-11
100380,3656,Current,100092.51,NGN,Active,2016-01-31
100381,4217,Current,280755.56,NGN,Active,2019-02-26
100382,786,Current,68102.85,NGN,Dormant,2011-08-06
100383,5420,Current,123416.55,NGN,Active,2010-01-17
100384,2603,Current,250139.5,NGN,Active,2012-11-19
100385,6618,Fixed,3252014.68,NGN,Active,2019-11-01
100386,4310,Fixed,148778.94,NGN,Closed,2012-03-16
100387,1359,Savings,359018.4,NGN,Dormant,2017-05-22
100388,9366,Savings,132517.93,NGN,Active,2010-08-26
100389,213,Current,240762.04,NGN,Active,2011-02-17
100390,7743,Savings,157753.23,NGN,Active,2020-08-24
100391,4594,Savings,102312.86,NGN,Active,2016-06-23
100392,8221,Current,130252.48,NGN,Active,2024-03-12
100393,2945,Current,641665.71,NGN,Dormant,2016-11-10
100394,7681,Current,223699.92,NGN,Active,2017-11-27
100395,6217,Fixed,43622.29,NGN,Active,2010-10-14
100396,8981,Current,102062.24,NGN,Active,2023-07-15
100397,2254,Savings,61016.93,NGN,Active,2022-12-25
100398,3740,Savings,451426.53,NGN,Active,2017-08-21
100399,6196,Savings,70591.35,NGN,Active,2023-07-13
100400,9195,Savings,420000.56,NGN,Active,2019-01-21
100401,9442,Savings,476507.83,NGN,Active,2019-06-06
100402,9816,Savings,190754.71,NGN,Active,2022-05-28
100403,6163,Current,296224.12,NGN,Active,2024-04-25
100404,7878,Current,93750.82,NGN,Active,2020-07-22
100405,6667,Current,414184.88,NGN,Active,2013-11-03
100406,8186,Fixed,41616.98,NGN,Active,2015-02-19
100407,2704,Savings,97835.97,NGN,Closed,2014-12-19
100408,7924,Savings,116027.05,NGN,Active,2018-04-26
100409,85,Savings,481731.47,NGN,Dormant,2019-07-30
100410,5659,Current,1062113.62,NGN,Dormant,2019-08-01
100411,7958,Savings,98671.52,NGN,Active,2015-11-26
100412,4867,Savings,146325.42,NGN,Active,2023-03-12
100413,3115,Savings,44387.63,NGN,Closed,2015-02-15
100414,7878,Current,148533.92,NGN,Dormant,2022-10-29
100415,3673,Savings,546695.57,NGN,Active,2024-04-25
100416,5925,Fixed,22576.26,NGN,Dormant,2014-05-25
100417,1374,Savings,166098.39,NGN,Active,2010-08-12
100418,9656,Savings,358551.01,NGN,Active,2014-06-28
100419,9767,Savings,173294.35,NGN,Active,2011-11-18
100420,5012,Savings,132152.56,NGN,Active,2017-01-24
100421,5953,Savings,426829.72,NGN,Closed,2012-04-25
100422,7331,Savings,66861.28,NGN,Closed,2020-07-05
100423,2653,Savings,69052.42,NGN,Active,2011-05-20
100424,2091,Savings,21357.21,NGN,Active,2018-02-21
100425,297,Savings,232786.93,NGN,Active,2024-10-15
100426,1131,Savings,207579.1,NGN,Active,2016-06-12
100427,2985,Savings,86611.6,NGN,Active,2013-12-28
100428,8909,Savings,60899.44,NGN,Active,2024-07-26
100429,7598,Savings,154482.99,NGN,Closed,2020-03-19
100430,3984,Current,180908.22,NGN,Active,2024-11-21
100431,6521,Current,43595.4,NGN,Active,2021-07-11
100432,9500,Savings,19137.65,NGN,Active,2014-03-13
100433,4427,Savings,24393.74,NGN,Active,2011-10-28
100434,4332,Fixed,32895.18,NGN,Active,2010-04-10
100435,9054,Savings,43211.35,NGN,Dormant,2015-12-20
100436,7819,Current,148388.71,NGN,Active,2010-04-30
100437,4812,Savings,178684.58,NGN,Closed,2015-03-13
100438,5177,Current,135296.29,NGN,Active,2020-12-18
100439,2485,Current,241496.52,NGN,Active,2019-02-03
100440,9290,Savings,252933.62,NGN,Active,2017-08-10
100441,6140,Savings,233965.54,NGN,Active,2016-05-24
100442,6263,Fixed,179517.43,NGN,Active,2018-03-27
100443,571,Current,50918.56,NGN,Active,2011-09-13
100444,1315,Savings,37475.34,NGN,Active,2014-03-19
100445,9140,Savings,87704.66,NGN,Active,2011-12-06
100446,7972,Savings,567478.13,NGN,Active,2015-09-05
100447,5453,Current,2144962.98,NGN,Active,2022-06-25
100448,4596,Savings,300421.82,NGN,Active,2012-07-11
100449,8923,Current,241280.73,NGN,Active,2016-06-28
100450,4578,Savings,526321.8,NGN,Dormant,2023-09-17
100451,5589,Current,859758.06,NGN,Active,2012-07-27
100452,326,Savings,59015.77,NGN,Active,2014-10-07
100453,7231,Current,3966271.8,NGN,Active,2013-05-25
100454,7348,Savings,933508.68,NGN,Dormant,2010-07-14
100455,5948,Savings,36201.93,NGN,Active,2023-03-07
100456,3236,Current,54266.83,NGN,Active,2011-09-17
100457,9576,Savings,3607762.15,NGN,Active,2011-06-19
100458,4074,Savings,509157.29,NGN,Active,2011-01-21
100459,8747,Savings,84381.36,NGN,Dormant,2018-12-27
100460,8395,Current,177568.74,NGN,Active,2018-06-26
100461,4786,Savings,373066.9,NGN,Active,2014-08-01
100462,4880,Savings,432606.22,NGN,Active,2023-03-19
100463,1588,Savings,733139.25,NGN,Active,2021-06-25
100464,453,Savings,212451.13,NGN,Active,2016-02-20
100465,3075,Savings,221569.38,NGN,Dormant,2020-06-28
100466,1113,Savings,109076.1,NGN,Active,2019-03-02
100467,1075,Savings,58579.8,NGN,Active,2011-11-20
100468,3525,Savings,55681.42,NGN,Active,2011-11-09
100469,4768,Savings,138947.46,NGN,Dormant,2010-08-20
100470,8672,Savings,237664.4,NGN,Active,2024-04-17
100471,3319,Savings,32833.04,NGN,Active,2019-07-22
100472,2934,Current,1545649.08,NGN,Active,2010-07-07
100473,7851,Savings,75719.7,NGN,Closed,2011-04-03
100474,3795,Savings,63387.41,NGN,Active,2010-07-23
100475,2444,Savings,157772.38,NGN,Active,2013-11-05
100476,4255,Fixed,12004.79,NGN,Dormant,2016-06-15
100477,2513,Fixed,242290.13,NGN,Active,2022-07-15
100478,9366,Savings,54761.0,NGN,Active,2021-05-16
