transaction_id,account_id,transaction_date,transaction_type,amount,channel
500144,110298,2025-02-24,Withdrawal,40515.46,POS
500145,110251,2022-05-07,Deposit,12393.25,Mobile
500146,101808,2024-02-20,Deposit,48915.08,ATM
500147,104123,2024-03-12,Transfer,17156.06,Mobile
500148,108816,2024-07-09,Deposit,11195.08,Branch
500149,108211,2022-10-03,Withdrawal,13615.56,POS
500150,109626,2022-03-11,Transfer,65705.71,Mobile
500151,114056,2023-08-24,Deposit,40196.56,Branch
500152,111456,2024-05-12,Deposit,59580.67,ATM
500153,106179,2023-05-22,Transfer,6331.29,ATM
500154,108259,2022-11-23,Withdrawal,30821.76,POS
500155,102781,2023-02-23,Deposit,123977.48,POS
500156,104181,2022-08-23,Withdrawal,28925.33,Mobile
500157,114688,2022-12-25,Deposit,43099.03,POS
500158,102774,2024-04-06,Deposit,47524.51,Mobile
500159,112484,2022-04-06,Transfer,45065.64,Mobile
500160,110832,2024-12-20,Deposit,18274.14,ATM
500161,106593,2023-11-11,Withdrawal,34471.69,POS
500162,107906,2024-07-07,Deposit,10051.73,Branch
500163,100056,2022-04-14,Transfer,83057.29,Mobile
500164,110699,2022-01-16,Deposit,27298.43,POS
500165,101155,2022-10-30,Deposit,8091.53,ATM
500166,112398,2023-11-06,Deposit,113214.33,ATM
500167,105861,2024-10-07,Transfer,191485.41,Mobile
500168,113002,2022-04-20,Withdrawal,23830.3,ATM
500169,104508,2022-05-03,Transfer,4865.33,Mobile
500170,108861,2022-09-18,Withdrawal,34730.65,ATM
500171,103670,2024-06-10,Withdrawal,3440.08,ATM
500172,102441,2023-03-19,Withdrawal,4811.39,ATM
500173,102864,2024-12-27,Deposit,58410.72,ATM
500174,114054,2022-03-22,Transfer,27225.68,ATM
500175,103788,2025-01-16,Deposit,13723.82,ATM
500176,109500,2022-05-20,Transfer,174705.8,POS
500177,106469,2023-03-03,Withdrawal,14089.66,Branch
500178,114867,2024-11-09,Deposit,22687.82,ATM
500179,114526,2022-11-15,Transfer,140482.83,ATM
500180,101907,2022-12-20,Deposit,20488.9,ATM
500181,104620,2024-04-10,Transfer,16302.41,POS
500182,103639,2024-02-15,Transfer,61823.08,Branch
500183,100182,2023-10-20,Transfer,5036.18,ATM
500184,100367,2022-05-30,Withdrawal,31061.64,POS
500185,109790,2023-06-23,Transfer,46894.31,ATM
500186,100578,2023-01-02,Transfer,27109.68,POS
500187,109076,2023-10-17,Transfer,63527.19,POS
500188,110167,2023-01-12,Transfer,10453.89,ATM
500189,100924,2023-07-07,Transfer,148915.19,Branch
500190,106163,2024-09-19,Transfer,10584.25,ATM
500191,112447,2023-02-28,Deposit,52956.02,ATM
500192,108970,2023-10-07,Withdrawal,27304.41,POS
500193,106017,2023-07-28,Withdrawal,59216.36,Mobile
500194,104208,2022-03-19,Deposit,26748.85,Mobile
500195,112848,2023-11-01,Transfer,4541.21,Mobile
500196,109932,2024-11-21,Deposit,16236.03,ATM
500197,110272,2023-07-27,Transfer,10331.5,POS
500198,101723,2024-05-23,Withdrawal,80545.08,Mobile
500199,101984,2024-04-26,Deposit,8645.75,Branch
500200,106669,2025-01-16,Withdrawal,43996.5,Mobile
500201,110968,2023-11-03,Deposit,17334.17,ATM
500202,102078,2022-04-07,Transfer,9290.77,Branch
500203,102477,2024-10-17,Transfer,64153.68,POS
500204,100554,2022-04-22,Transfer,31102.59,POS
500205,101585,2022-05-02,Transfer,18371.82,Mobile
500206,114406,2024-12-16,Withdrawal,6584.13,Branch
500207,105854,2022-08-02,Transfer,8217.97,Mobile
500208,114179,2024-10-02,Deposit,156057.84,Mobile
500209,112863,2023-11-24,Transfer,76946.03,Branch
500210,104149,2023-08-07,Transfer,4413.37,POS
500211,109856,2022-02-13,Transfer,41360.77,Branch
500212,103557,2024-09-12,Transfer,10110.9,ATM
500213,102396,2023-12-06,Withdrawal,31623.34,ATM
500214,109760,2024-05-19,Withdrawal,56977.33,POS
500215,100873,2025-02-16,Deposit,8138.83,Mobile
500216,111429,2024-06-24,Deposit,16678.13,ATM
500217,113445,2022-12-20,Deposit,24189.36,POS
500218,101112,2024-04-12,Transfer,43878.78,Mobile
500219,100325,2023-06-21,Withdrawal,5242.33,Mobile
500220,104413,2023-10-03,Transfer,8744.82,ATM
500221,112192,2023-10-25,Withdrawal,66619.57,POS
500222,100402,2024-04-14,Withdrawal,5930.23,Mobile
500223,109529,2023-06-21,Deposit,18719.62,ATM
500224,101503,2022-03-07,Transfer,2222.23,ATM
500225,103522,2022-08-17,Transfer,51872.29,POS
500226,108867,2022-08-25,Withdrawal,12768.96,ATM
500227,113403,2022-08-23,Deposit,27927.02,POS
500228,106172,2022-03-11,Deposit,19986.41,ATM
500229,106988,2024-02-01,Transfer,3091.67,POS
500230,104482,2023-07-19,Transfer,22297.42,ATM
500231,112551,2022-08-07,Withdrawal,18046.11,POS
500232,109492,2023-09-23,Transfer,7514.03,POS
500233,101265,2025-03-05,Withdrawal,8897.47,Mobile
500234,114146,2023-01-08,Withdrawal,29742.36,Mobile
500235,112426,2024-09-01,Withdrawal,16944.46,Mobile
500236,114770,2024-12-14,Withdrawal,19870.74,POS
500237,114093,2024-01-08,Transfer,11858.64,ATM
500238,107760,2023-08-18,Withdrawal,8508.04,POS
500239,112080,2025-03-11,Transfer,17262.2,Mobile
500240,111228,2024-10-19,Transfer,64207.54,POS
500241,107133,2022-06-25,Withdrawal,24119.25,POS
500242,111664,2024-08-08,Withdrawal,17404.91,ATM
500243,102056,2024-04-25,Deposit,33657.27,Mobile
500244,106317,2022-10-29,Transfer,30528.99,POS
500245,113461,2024-04-06,Transfer,11793.93,Mobile
500246,106263,2022-03-01,Deposit,11122.84,POS
500247,101286,2024-06-10,Withdrawal,10869.79,ATM
500248,110284,2024-03-26,Withdrawal,5556.6,Mobile
500249,103644,2022-04-28,Deposit,47047.76,POS
500250,108779,2022-06-11,Deposit,16372.74,Mobile
500251,102586,2025-02-23,Transfer,157762.79,Mobile
500252,106786,2022-07-02,Deposit,13087.05,Mobile
500253,100340,2023-08-22,Deposit,55029.25,Branch
500254,104135,2024-02-24,Deposit,16279.61,ATM
500255,114831,2022-03-27,Withdrawal,22001.03,ATM
500256,109308,2023-08-18,Deposit,16079.06,Branch
500257,109767,2024-03-27,Withdrawal,14957.58,Branch
500258,103655,2022-09-13,Withdrawal,73010.76,ATM
500259,102640,2024-08-06,Withdrawal,26965.21,Branch
500260,101933,2025-03-20,Deposit,13034.79,POS
500261,102973,2023-07-28,Withdrawal,3920.39,POS
500262,108957,2025-02-09,Transfer,13109.7,ATM
500263,108814,2024-01-06,Transfer,47897.12,POS
500264,111798,2023-06-15,Transfer,15049.38,Branch
500265,109766,2024-04-17,Withdrawal,11077.0,Mobile
500266,114436,2025-04-10,Transfer,32768.6,Branch
500267,104034,2025-01-15,Deposit,4955.14,ATM
500268,112472,2024-08-24,Withdrawal,350808.28,ATM
500269,109188,2022-09-01,Deposit,127471.78,Mobile
500270,102126,2023-04-05,Transfer,53552.15,Mobile
500271,112444,2023-05-27,Withdrawal,36714.59,ATM
500272,104493,2024-10-06,Transfer,5501.99,Mobile
500273,104082,2025-01-23,Deposit,3568.35,Branch
500274,111972,2022-12-24,Withdrawal,26285.93,Mobile
500275,110320,2024-07-28,Transfer,84852.7,ATM
500276,112418,2024-01-02,Transfer,19828.88,ATM
500277,107596,2023-05-29,Deposit,11249.78,ATM
500278,111185,2023-02-17,Transfer,16220.54,POS
500279,111758,2022-04-06,Transfer,11989.17,Branch
500280,113586,2022-07-18,Deposit,52300.17,Mobile
500281,103735,2024-03-07,Transfer,8120.5,POS
500282,104470,2024-12-14,Deposit,32807.89,Mobile
500283,106253,2025-03-02,Deposit,20013.43,POS
500284,100815,2022-08-17,Deposit,322150.3,Mobile
500285,107475,2024-10-05,Transfer,9807.49,POS
500286,102683,2023-05-02,Withdrawal,21086.62,POS
500287,109559,2024-10-17,Transfer,91706.57,ATM
500288,104249,2023-09-28,Transfer,4728.64,POS
500289,103433,2024-12-01,Deposit,98350.34,POS
500290,114948,2023-01-18,Withdrawal,8091.75,ATM
500291,113443,2022-05-29,Transfer,8548.0,POS
500292,103154,2024-09-26,Transfer,64938.94,ATM
500293,104509,2024-02-19,Transfer,14678.23,Branch
500294,108563,2024-03-04,Withdrawal,34531.23,Mobile
500295,113302,2023-10-07,Transfer,25147.62,ATM
500296,109368,2022-07-15,Withdrawal,100800.95,Mobile
500297,107005,2022-02-10,Withdrawal,4612.0,Branch
500298,109718,2022-03-05,Transfer,18504.06,Mobile
500299,114881,2022-07-16,Transfer,16633.92,POS
500300,109741,2025-03-27,Withdrawal,43659.57,Mobile
500301,105518,2023-01-12,Deposit,42679.4,ATM
500302,106818,2025-01-22,Transfer,16260.2,POS
500303,113850,2023-05-06,Withdrawal,39816.66,Mobile
500304,114519,2024-03-24,Transfer,93720.5,Branch
500305,107606,2023-06-21,Deposit,17710.81,ATM
500306,106012,2024-09-01,Transfer,28871.33,Mobile
500307,102824,2022-04-21,Deposit,37179.17,Branch
500308,114330,2024-05-23,Transfer,58242.47,ATM
500309,103686,2025-02-26,Deposit,127238.4,ATM
500310,101671,2022-05-30,Deposit,20012.0,ATM
500311,100564,2024-04-12,Withdrawal,35296.42,Mobile
500312,106749,2022-07-04,Withdrawal,23816.57,ATM
500313,101245,2023-05-09,Withdrawal,5631.37,POS
500314,106494,2023-06-06,Deposit,38665.59,Mobile
500315,100318,2024-11-21,Deposit,7084.14,Mobile
500316,101003,2024-08-11,Withdrawal,13569.42,Mobile
500317,109401,2022-05-17,Transfer,7184.67,Mobile
500318,111754,2023-08-19,Withdrawal,15062.43,Branch
500319,111117,2022-01-09,Deposit,1797.7,Branch
500320,112448,2022-01-31,Transfer,25900.59,ATM
500321,110195,2023-08-19,Deposit,6530.63,ATM
500322,105430,2023-03-28,Transfer,11686.97,Branch
500323,114322,2023-04-10,Transfer,11605.83,POS
500324,107878,2022-10-23,Transfer,20104.13,ATM
500325,108107,2024-05-20,Deposit,72611.46,Mobile
500326,107018,2025-04-09,Deposit,34913.1,Mobile
500327,103948,2024-03-14,Deposit,20815.77,ATM
500328,114505,2023-06-17,Transfer,22501.76,Branch
500329,101062,2024-07-02,Withdrawal,14911.72,POS
500330,110439,2023-03-07,Transfer,8720.07,POS
500331,103858,2023-05-11,Withdrawal,49506.1,Mobile
500332,107647,2024-08-15,Deposit,54251.78,Mobile
500333,100581,2022-10-01,Withdrawal,131920.56,POS
500334,102758,2024-09-19,Deposit,12636.4,ATM
500335,107891,2025-03-25,Deposit,18002.77,ATM
500336,101578,2024-01-02,Withdrawal,6646.07,ATM
500337,102724,2023-02-24,Transfer,7206.69,Mobile
500338,104942,2024-01-23,Deposit,66699.26,ATM
500339,101098,2024-08-30,Deposit,47195.17,ATM
500340,114000,2023-03-11,Withdrawal,37187.21,POS
500341,110856,2022-03-26,Transfer,82304.13,Mobile
500342,106556,2023-07-30,Withdrawal,80045.75,Branch
500343,108115,2023-12-03,Withdrawal,15520.65,POS
500344,114376,2024-05-20,Transfer,11943.0,Mobile
500345,110250,2024-08-20,Deposit,31590.47,Branch
500346,111647,2024-08-23,Deposit,12553.37,Branch
500347,107573,2024-09-16,Transfer,8690.09,Branch
500348,114723,2023-05-10,Withdrawal,5984.23,POS
500349,108332,2023-10-17,Deposit,44596.85,POS
500350,110693,2022-01-02,Deposit,10212.29,Mobile
500351,103866,2023-06-12,Withdrawal,34457.78,Mobile
500352,109213,2024-09-22,Deposit,20426.52,POS
500353,112571,2024-10-24,Withdrawal,159647.29,POS
500354,104874,2024-12-15,Transfer,31651.88,POS
500355,114322,2023-12-29,Transfer,6160.42,Mobile
500356,114925,2024-12-08,Transfer,17891.88,Mobile
500357,113018,2023-06-02,Transfer,33182.42,ATM
500358,107856,2022-01-09,Deposit,12679.86,POS
500359,104251,2024-01-16,Withdrawal,37258.21,Mobile
500360,106517,2024-08-29,Transfer,15545.98,Mobile
500361,112864,2023-12-24,Transfer,25403.91,ATM
500362,114825,2024-09-18,Deposit,40296.94,ATM
500363,107087,2024-06-24,Deposit,28707.55,ATM
500364,106408,2022-10-31,Transfer,8296.94,Branch
500365,114551,2025-01-24,Withdrawal,5087.64,Mobile
500366,114696,2024-02-05,Transfer,219135.46,Mobile
500367,113888,2022-07-22,Transfer,4183.17,Mobile
500368,102166,2024-05-24,Deposit,48389.07,ATM
500369,103541,2022-03-16,Withdrawal,24256.31,POS
500370,107992,2024-01-16,Withdrawal,10209.0,Mobile
500371,108769,2024-01-30,Withdrawal,20145.54,Branch
500372,100130,2023-11-24,Withdrawal,176686.06,Mobile
500373,105721,2022-06-11,Deposit,93908.26,ATM
500374,104727,2024-10-21,Deposit,7215.23,Branch
500375,105160,2023-11-06,Transfer,38277.78,Mobile
500376,102828,2024-10-26,Withdrawal,22768.82,ATM
500377,107717,2023-08-08,Transfer,18132.71,Mobile
500378,103792,2023-06-21,Transfer,6443.81,POS
500379,114348,2022-12-24,Withdrawal,171793.34,Mobile
500380,100140,2023-03-02,Withdrawal,131923.53,Mobile
500381,101095,2023-01-09,Transfer,9408.59,Branch
500382,109062,2023-06-13,Withdrawal,86630.14,POS
500383,102522,2024-01-28,Withdrawal,60686.23,POS
500384,113606,2024-05-30,Transfer,19110.04,Mobile
500385,114544,2022-09-22,Transfer,77048.17,Mobile
500386,109489,2022-10-21,Withdrawal,18255.32,ATM
500387,102991,2022-04-28,Deposit,29388.72,POS
500388,113142,2024-06-27,Withdrawal,5408.55,ATM
500389,109957,2024-08-10,Transfer,6876.97,Mobile
500390,109389,2022-04-23,Withdrawal,43412.41,Mobile
500391,104967,2022-04-11,Transfer,52660.57,ATM
500392,101575,2023-06-01,Withdrawal,13690.03,POS
500393,106227,2024-05-26,Transfer,72723.8,ATM
500394,110536,2024-02-27,Transfer,4129.09,Mobile
500395,105230,2023-11-05,Transfer,8424.98,POS
500396,103863,2022-08-06,Transfer,85096.74,Branch
500397,109894,2022-12-26,Deposit,36976.81,Mobile
500398,102435,2023-07-08,Deposit,14201.7,POS
500399,114972,2022-01-25,Withdrawal,32358.43,ATM
500400,104438,2022-08-27,Withdrawal,45789.97,ATM
500401,101577,2023-08-30,Deposit,102604.27,POS
500402,106472,2022-06-12,Withdrawal,6813.13,Branch
500403,106310,2024-05-07,Transfer,51292.79,POS
500404,111090,2024-10-24,Transfer,30867.72,Mobile
500405,102812,2023-12-31,Transfer,70064.16,POS
500406,111741,2024-11-28,Transfer,9883.99,POS
500407,106834,2025-02-15,Withdrawal,21675.28,Mobile
500408,103320,2024-04-05,Transfer,29922.51,Mobile
500409,100496,2023-02-11,Transfer,5512.51,POS
500410,111583,2024-07-21,Deposit,14130.96,Branch
500411,113027,2022-08-31,Withdrawal,72545.77,ATM
500412,106239,2023-12-08,Transfer,13833.11,ATM
500413,102021,2022-11-03,Withdrawal,27517.0,Mobile
500414,114204,2023-02-21,Withdrawal,3891.9,ATM
500415,101343,2025-01-13,Withdrawal,52045.47,POS
500416,113725,2022-11-10,Deposit,2798.8,POS
500417,105243,2023-08-17,Withdrawal,12916.54,Branch
500418,103686,2024-09-14,Transfer,43645.14,POS
500419,105778,2024-12-19,Deposit,85975.02,ATM
500420,102652,2024-09-13,Withdrawal,6646.08,Mobile
500421,108179,2025-03-30,Deposit,12572.96,Mobile
500422,104058,2022-09-19,Transfer,39694.37,Mobile
500423,107981,2024-06-04,Withdrawal,2833.22,Branch
500424,113670,2024-09-22,Transfer,34959.43,Branch
500425,113493,2024-05-17,Deposit,8335.34,Mobile
500426,104646,2022-06-25,Deposit,34927.84,POS
500427,111982,2025-01-19,Withdrawal,58405.25,Mobile
500428,112774,2022-03-20,Deposit,67435.75,Branch
500429,113804,2024-11-24,Deposit,33614.13,ATM
500430,100885,2023-06-28,Withdrawal,22772.12,POS
500431,113534,2022-09-29,Withdrawal,50116.78,Mobile
500432,107643,2023-07-02,Withdrawal,9428.48,Mobile
500433,100014,2022-08-19,Deposit,11714.93,POS
500434,105258,2025-02-18,Withdrawal,39569.09,Mobile
500435,103617,2023-09-28,Transfer,23864.23,Branch
500436,114712,2025-03-31,Transfer,177550.74,ATM
500437,106073,2024-06-14,Deposit,56404.06,ATM
500438,113342,2022-09-18,Withdrawal,7624.02,POS
500439,113738,2022-08-15,Deposit,9527.35,POS
500440,114394,2024-02-26,Transfer,18105.01,Mobile
500441,102812,2023-01-03,Transfer,112995.47,POS
500442,112097,2024-11-23,Deposit,26887.26,Mobile
500443,101299,2022-11-30,Withdrawal,8735.77,ATM
500444,107024,2024-04-25,Withdrawal,39246.18,POS
500445,113331,2022-03-09,Withdrawal,26120.57,POS
500446,110024,2022-12-04,Deposit,149394.55,Branch
500447,103461,2024-02-06,Deposit,12431.68,POS
500448,102969,2023-08-18,Deposit,15411.09,Mobile
500449,105876,2024-11-17,Withdrawal,2816.99,ATM
500450,100673,2023-12-06,Withdrawal,5292.2,ATM
500451,110040,2024-02-26,Withdrawal,7879.02,Mobile
500452,102809,2024-02-14,Transfer,5505.69,Mobile
500453,102295,2023-03-14,Transfer,43826.19,POS
500454,112501,2024-12-04,Transfer,17643.43,ATM
500455,112703,2022-10-17,Withdrawal,49169.09,Branch
500456,100436,2022-10-06,Withdrawal,10912.94,Branch
500457,106094,2024-08-07,Deposit,20825.47,Mobile
500458,113760,2022-12-20,Withdrawal,3383.55,Mobile
500459,100884,2024-03-14,Transfer,9649.79,ATM
500460,105791,2022-09-23,Withdrawal,36688.49,POS
500461,111024,2022-04-11,Transfer,1684.46,Mobile
500462,111432,2024-01-11,Withdrawal,12170.53,Mobile
500463,100601,2023-11-25,Deposit,24493.85,Mobile
500464,114966,2022-03-08,Transfer,26786.98,ATM
500465,109413,2024-04-22,Withdrawal,28453.42,POS
500466,100665,2022-02-13,Deposit,28944.73,Mobile
500467,106239,2024-11-13,Withdrawal,53043.14,POS
500468,105455,2022-06-28,Transfer,29947.65,ATM
500469,114986,2024-03-15,Withdrawal,108076.49,POS
500470,105735,2022-09-27,Withdrawal,14845.8,Mobile
500471,103324,2025-02-14,Deposit,77335.78,POS
500472,103059,2022-06-04,Withdrawal,20351.64,Mobile
500473,107017,2023-01-26,Transfer,54928.8,POS
500474,105609,2024-04-26,Withdrawal,39530.54,POS
500475,113900,2024-12-29,Withdrawal,15322.7,ATM
500476,113774,2024-04-16,Deposit,13227.91,POS
500477,113630,2022-02-23,Withdrawal,29931.76,POS
500478,112762,2024-03-07,Withdrawal,121249.98,Mobile
500479,107290,2022-11-03,Deposit,30384.11,ATM
500480,112807,2024-03-12,Deposit,53392.01,ATM
500481,102563,2022-09-29,Transfer,110198.78,Branch
500482,104250,2025-03-15,Transfer,39207.04,Mobile
500483,105686,2022-06-13,Transfer,27533.53,Branch
500484,103906,2023-10-09,Withdrawal,30353.33,POS
500485,102848,2024-08-20,Withdrawal,5782.38,Mobile
500486,104647,2024-09-14,Transfer,7896.51,Mobile
500487,113837,2024-11-21,Withdrawal,52373.95,POS
500488,109708,2025-03-31,Deposit,14311.5,POS
500489,113122,2022-08-09,Transfer,17694.01,Mobile
500490,109547,2024-09-28,Withdrawal,17483.12,ATM
500491,109081,2022-03-25,Withdrawal,27450.88,Mobile
500492,107535,2023-06-20,Withdrawal,11844.06,ATM
500493,111517,2023-03-24,Deposit,18379.8,POS
500494,106994,2025-01-06,Deposit,134434.43,ATM
500495,103258,2024-07-10,Deposit,10299.63,Mobile
500496,113911,2023-02-12,Deposit,36145.11,ATM
500497,107886,2022-05-14,Transfer,32297.24,Mobile
500498,104923,2023-05-31,Transfer,9418.45,Mobile
500499,107262,2024-07-13,Transfer,47854.56,ATM
500500,104937,2022-09-17,Withdrawal,13875.75,Mobile
500501,102302,2022-08-11,Transfer,14308.39,POS
500502,103315,2022-03-29,Withdrawal,24500.15,ATM
500503,101272,2022-05-30,Withdrawal,51256.57,Mobile
